data_name,base_aar,base_par,np_aar,np_par,qnn_aar,qnn_par,nn_sup_aar,nn_sup_par,nn_unsup_aar,nn_unsup_par
SD4L1000_3,0.976,0.886,0.914,0.613,0.972,0.867,0.98,0.904,0.969,0.855
SD4L1000_2,0.976,0.886,0.914,0.613,0.979,0.9,0.98,0.903,0.956,0.794
SD4L1000_1,0.976,0.886,0.914,0.613,0.973,0.873,0.976,0.881,0.962,0.816
,,,,,0.974,0.8764,0.9782,0.8944,0.964,0.8298
,,,,,0.003162278,0.015126136,0.00204939,0.00968504,0.007905694,0.037969725
,,,,,,,,,,
SD4L300_5,0.957,0.813,0.897,0.563,0.958,0.813,0.961,0.843,0.951,0.77
SD4L300_4,0.957,0.813,0.897,0.563,0.867,0.533,0.975,0.89,0.959,0.807
SD4L300_3,0.957,0.813,0.897,0.563,0.962,0.833,0.973,0.87,0.954,0.787
SD4L300_2,0.957,0.813,0.897,0.563,0.971,0.87,0.963,0.847,0.949,0.783
SD4L300_1,0.957,0.813,0.897,0.563,0.967,0.86,0.968,0.87,0.955,0.8
,,,,,0.945,0.7818,0.968,0.864,0.9536,0.7894
,,,,,0.04388052,0.140881865,0.006082763,0.019222383,0.003847077,0.014536162
,,,,,,,,,,
SD4L50_5,0.964,0.84,0.82,0.32,0.96,0.82,0.988,0.94,0.904,0.62
SD4L50_4,0.964,0.84,0.82,0.32,0.936,0.72,0.972,0.86,0.904,0.62
SD4L50_3,0.964,0.84,0.82,0.32,0.952,0.78,0.976,0.9,0.896,0.62
SD4L50_2,0.964,0.84,0.82,0.32,0.916,0.64,0.984,0.92,0.876,0.58
SD4L50_1,0.964,0.84,0.82,0.32,0.932,0.72,0.984,0.92,0.904,0.62
,,,,,0.9392,0.736,0.9808,0.908,0.8968,0.612
,,,,,0.017297399,0.068410526,0.006572671,0.030331502,0.012132601,0.017888544
